5;-1;-10.781204;-1;0;-1
7;-1;-9.58329;-1;1;-1
9;-2;-2.9947739;0;1;-1
11;-3;-4.7916374;0;0;-1
13;-2;-4.4303093;0;0;-1
15;-2;-8.759552;0;0;-1
17;-1;-5.855858;0;0;-1
19;-1;-4.2015038;0;0;-1
21;-1;-5.256918;0;0;-1
23;-1;-2.0453968;0;0;-1
25;0;-7.6698875;0;0;-1
27;0;-7.4905624;0;0;-1
29;1;-5.475868;0;0;-1
31;2;-11.491735;0;0;-1
33;2;-11.846409;0;0;-1
35;2;-13.019579;0;0;-1
37;2;-7.2860775;1;0;-1
39;1;-6.4545956;1;0;-1
41;1;-6.931409;1;-1;-1
43;-1;-4.180923;0;0;-1
45;-1;-3.2272983;-1;0;-1
47;-2;-1.5525784;-1;0;-1
5;-1;-11.018806;-1;0;-1
7;-1;-10.419838;-1;0;-1
9;-2;-4.4797974;0;1;-1
11;-2;-8.360611;0;1;-1
13;-2;-8.024033;-1;1;-1
15;-4;-4.242153;-1;0;-1
17;-4;-6.875599;-1;0;-1
19;-4;-5.1085777;-1;0;-1
21;-4;-0.92764664;-1;0;-1
23;-4;-9.398689;-1;0;-1
25;-4;-6.201191;-1;0;-1
27;-3;-6.0487328;-1;1;-1
29;-3;-6.6890774;0;1;-1
31;-2;-9.01127;0;1;-1
33;-1;-8.496284;0;0;-1
35;0;-9.470226;-1;1;-1
37;0;-13.0521965;-1;0;-1
39;0;-11.499617;-1;0;-1
5;-1;-13.775974;-1;1;-1
7;-1;-10.75647;-1;0;-1
9;-2;0.5989456;0;-1;-1
11;-2;-0.0000076293945;0;-1;-1
13;-2;-1.4850388;0;-1;-1
15;-3;-1.4850197;0;-1;-1
17;-3;-0.54948044;0;0;-1
19;-4;1.2473831;0;0;-1
21;-4;-1.136673;0;-1;-1
23;-3;-2.712757;0;-1;-1
25;-3;-1.8514366;0;-1;-1
27;-3;-2.4503822;0;0;-1
29;-3;0.2325325;0;0;-1
31;-3;-5.6113586;0;0;-1
33;-3;1.5525799;0;0;-1
35;-3;0.24428558;0;0;-1
37;-4;0.12214279;0;0;-1
39;-3;-1.5525761;0;0;-1
41;-3;-0.47681046;0;0;-1
43;-1;-1.0757656;-1;0;-1
45;-1;-1.0757656;-2;0;-1
47;-1;-0.4768119;-2;0;-1
49;-1;-1.0757661;-3;0;-1
51;1;-3.2272983;-2;0;-1
5;-1;-15.378746;-1;0;-1
7;-1;-8.04879;-1;0;-1
