3;-1;-10.781166;-1;0;0;-1
5;-1;-6.5884933;-1;0;0;-1
7;-1;-7.6874466;-1;0;0;-1
9;-2;-4.192688;0;1;0;-1
11;-2;-4.192669;0;1;0;-1
13;-2;-5.3637695;0;7;0;-1
15;-3;-7.963333;0;-4;0;-1
17;-4;-3.9211998;0;-5;0;-1
19;-3;-5.147156;0;-3;-21;-1
21;-4;-8.898125;0;-4;-19;-1
23;-3;0.25603485;1;0;-7;-1
25;-3;-1.2537174;1;0;-7;-1
27;-3;-1.8526688;1;0;-7;-1
29;-2;-0.3000908;1;-1;-5;-1
31;-2;4.1251173;1;2;-2;-1
33;-2;1.37463;1;1;-4;-1
35;0;0.29886436;0;0;-5;-1
37;-1;1.37463;0;0;-4;-1
39;-2;2.450395;0;1;-3;-1
41;-1;-1.0211868;-1;-1;-4;-1
43;2;-5.134547;-1;-2;-7;-1
45;3;-6.210313;-1;-2;-8;-1
47;3;-6.210313;0;-2;-8;-1
3;-1;-14.825436;-1;0;0;-1
5;-1;-6.588501;-1;0;0;-1
7;-1;-4.791641;-1;0;0;-1
9;-3;0.7602463;0;1;0;-1
11;-2;-1.2226334;0;4;0;-1
13;-3;-0.93553925;0;6;0;-1
15;-4;-1.3070679;0;0;6;-1
17;-5;8.429443;0;-1;6;-1
19;-7;6.3063126;0;0;5;-1
21;-6;5.4760933;0;4;5;-1
23;-6;-0.9121208;0;-4;5;-1
25;-8;5.968933;0;-4;7;-1
27;-7;6.7874317;0;1;5;-1
29;-8;11.344289;0;7;5;-1
31;-8;8.941186;0;4;3;-1
33;-8;7.700079;0;4;-2;-1
35;-8;5.5090637;0;3;-2;-1
37;-7;9.2824955;0;6;-3;-1
39;-7;5.6312065;0;3;-3;-1
41;-6;1.5606718;0;1;-4;-1
43;-5;3.8738246;0;3;-5;-1
45;-5;1.6828141;-1;1;-5;-1
47;-3;-5.159284;-1;-2;-7;-1
49;-3;-3.9613762;-1;-1;-7;-1
3;-1;-29.938515;-1;0;0;-1
5;-1;-28.302364;-1;0;0;-1
7;-1;-16.45884;-1;0;0;-1
9;-2;-10.706947;0;-11;0;-1
11;-2;-5.1034737;0;-9;0;-1
13;-1;-11.043533;0;-12;0;-1
15;-1;-9.246677;0;-14;0;-1
17;-1;-11.038601;0;-14;0;-1
19;0;-11.49696;0;-10;2;-1
21;0;-11.659456;-1;-8;2;-1
23;0;-21.617672;-2;-11;-8;-1
25;-1;-24.789152;-2;-12;-20;-1
27;-2;-23.139893;-2;-13;-17;-1
29;-2;-26.443308;-3;-14;-34;-1
3;-1;-13.177032;-1;0;0;-1
5;-1;-14.374908;-1;0;0;-1
7;-1;-20.364449;-1;0;0;-1
9;-2;-16.072845;0;-28;0;-1
11;-3;-30.947746;-1;-37;0;-1
13;0;-33.653862;-1;-37;0;-1
15;0;-37.306293;-1;-31;0;-1
17;0;-28.091602;-1;-26;0;-1
19;0;-25.850754;-1;-15;0;-1
21;0;-29.466341;-2;-14;-30;-1
23;0;-26.12273;-2;-14;-30;-1
25;1;-30.587725;-2;-13;-44;-1
27;0;-25.263485;-2;-14;-36;-1
29;0;-24.95164;-2;-14;-36;-1
31;1;-27.824268;-2;-17;-37;-1
