3;-1;-7.381531;-1;0;0;-2.75;-7.071068;0;-1
5;-1;-10.157486;-1;0;0;-3.166668;-23.320576;0;-1
7;-1;-10.157471;-1;0;0;-2.666668;-33.430923;0;-1
9;-3;-10.419853;0;-1;0;-3.0000038;-17.252308;0;-1
11;-3;-5.36586;0;1;0;-1.8333321;-5.78463;0.0000076293945;-1
13;-3;-0.8613205;0;4;0;0.16666794;-19.81363;0.0000076293945;-1
15;-1;-5.890564;0;0;0;-2.3333302;-11.076031;0.0000076293945;-1
17;0;-14.191734;0;-1;0;-5.116661;-10.79789;0.0000076293945;-1
19;-1;-10.078377;0;0;3;-3.949995;-7.6265564;0;-1
21;-1;-5.1361656;0;3;3;-0.48333168;-1.1581573;0;-1
23;-2;-11.443176;0;0;-6;-3.5666714;-3.4100914;0;-1
25;-3;-9.274281;1;-2;0;-1.9833336;2.831047;0;-1
27;-2;-10.048916;0;-1;-1;-0.6833334;-2.3648262;0.0000076293945;-1
29;-4;-12.677263;0;-3;-4;-2.3499994;-3.271;-0.0000076293945;-1
31;-6;-9.674892;0;-3;-4;-2.3833332;5.6714973;-0.0000076293945;-1
33;-5;-11.559302;-1;-3;-16;-4.3333325;3.4471016;0;-1
35;-4;-7.5303626;-1;-2;-7;-2;3.1916199;0.0000076293945;-1
37;-5;-5.256689;-1;-1;-6;-1.5;-5.6920433;-0.0000076293945;-1
4;0;0.549469;0;0;0;2.3333359;5.4169083;0.5578346;0;-1
6;0;-0.024734497;0;0;0;0.16666794;4.1069794;-5.4630375;-0.0000038146973;-1
8;0;0;0;-2;0;-1;3.7618103;-3.7149754;0;-1
10;2;-2.76223;0;-11;3;-2.5;-11.955139;-7.6088734;0;-1
12;2;-2.76223;0;-8;3;-1.5;-13.18734;-0.34329414;0;-1
14;4;-4.2225;0;-5;3;-2;-5.910038;-0.6132393;0;-1
16;4;-5.42041;0;-10;3;-2.499998;-11.956825;6.05402;0.0000076293945;-1
18;4;-3.5224876;0;-5;3;-1.7499981;-7.1735497;8.480415;0;-1
20;4;1.0966148;0;-4;14;0.66666985;-2.8853645;-2.647396;-0.0000076293945;-1
22;4;2.0583;0;-1;16;2.3333378;-3.0638351;-11.757191;0;-1
24;5;-3.038517;0;-5;14;-0.6666603;-5.309517;-8.151566;0;-1
26;5;-9.39356;0;-5;6;-3.1833334;-6.3061085;-13.792732;0;-1
28;4;-7.7200623;0;-5;-8;-5.333334;-4.5478544;-19.995285;0;-1
30;4;-6.998968;0;-5;-9;-5.333333;-3.6916332;-17.664219;0;-1
32;4;-4.1822357;1;-3;-8;-3.7833328;-1.8006916;-17.785282;0;-1
34;2;0.24296951;0;-1;-5;-2.2833328;0.20396042;-8.05835;-0.0000076293945;-1
36;2;2.039833;0;1;-5;-1.2833333;1.0652852;-10.674568;-0.0000076293945;-1
38;2;0.84192467;-1;0;-5;-1.7833333;0.49106932;-8.790768;0;-1
40;4;-4.4425726;-2;-2;-7;-3.0833335;-1.9085603;-15.400394;0;-1
42;5;-1.7864199;-2;1;-8;-1.2833333;-0.6522591;-11.195053;0;-1
44;4;-4.4425716;-2;-2;-7;-3.0833335;-1.9085605;-11.011822;0;-1
46;4;-4.248485;-2;-1;-7;-2.8333335;-1.784385;-15.238773;0;-1
4;0;0.59895325;0;0;0;0;0.7435684;-1.3801508;-0.0000019073486;1
6;0;1.7968674;0;0;0;1.5;3.5776443;-6.7132587;0;1
8;0;2.3957977;0;8;0;2;2.716301;-9.365818;0;1
10;1;5.0787506;0;10;0;2.166668;15.384499;-6.8301735;0.000015258789;1
12;1;2.9947662;0;9;0;1.5;17.163727;-8.734983;0.0000076293945;1
14;1;7.722843;0;5;19;4.833338;13.104717;-11.154322;0;1
16;2;5.527527;0;2;19;4.2833366;4.8845177;-15.403839;0.0000076293945;1
18;2;8.119823;1;5;11;4.750002;8.0289;-11.14011;0;1
20;1;9.555359;1;8;11;5.75;9.180395;-19.188301;-0.0000076293945;1
22;1;10.77063;1;10;15;7.5;9.683978;-23.918041;0;1
24;2;7.8473015;1;8;4;4.333334;6.243026;-10.038734;0.0000076293945;1
26;2;6.9365177;1;3;4;3.3333359;3.6381073;-10.134991;-0.0000076293945;1
28;2;9.0452175;1;5;4;4.333334;3.425377;-6.4388123;0;1
30;3;8.378704;1;6;2;4.500001;3.839285;-8.280121;-0.0000076293945;1
32;1;1.0706615;1;1;4;1.166666;0.457129;-12.222431;0;1
